	target_text
0	What is XOR problem
1	What are the benefits of backing up data
2	What is meant by random processes with the help of suitable example explain random processes in detail
3	What is one example of a continuous variable
4	How do you know if a decision tree is Overfitting
5	Which is the syntax for 2 matrix multiplication in R is
6	Which operator is used for matrix multiplication R
7	What is a direct product of two matrices
8	How do you multiply a matrix by a vector in R
9	How does the confidence level affect the confidence interval
10	What does a confidence interval mean
11	What is confidence interval vs confidence level
12	What is the relationship between a chosen level of confidence for a confidence interval and how wide that interval is
13	What is the difference between priori and posteriori
14	What is meant by a priori probability
15	What is meant by the a posteriori probability
16	What does the standard error of estimate tell you
17	What is standard error of estimate how is it measured
18	What does the standard error of estimate see measure and what can this tell us about how well our linear regression models Data
19	How do you read correspondence analysis
20	What is correspondence analysis in SPSS
21	What is hog in image processing
22	What are the topics in machine learning
23	What is binomial state
24	What does the binomial coefficient mean
25	Why neural networks is better
26	Why neural network is better than random forest
27	What are the advantages of neural networks in machine learning
28	Why algorithms can be biased
29	Can machine learning be biased
30	How do you determine data bias
31	What simple regression tells us
32	What does regression tell us in statistics
33	How do you find the maximum and minimum of a function with two variables
34	Can a function have 2 variables
35	How do you find the function of two variables
36	What does a regression model do
37	What is the difference between a population linear model and an estimated linear regression model
38	What do you mean by collaborative filtering
39	What is collaborative filtering in machine learning
40	Is Time Series A machine learning
41	Is Arima machine learning
42	Is time series a forecasting technique
43	Why is a binomial negative
44	What is the mean of a negative binomial distribution
45	What is a two way Anova examples
46	What is the difference between one way and two way Anova
47	What does a confidence interval tell us
48	How is confidence interval calculated
49	How do learning algorithms work
50	What is the meaning of machine learning algorithms
51	What is N Shot learning
52	What does zero shot mean
53	How do you calculate Heteroskedasticity in regression
54	What is the solution to the Monty Hall problem
55	Should you switch in the Monty Hall problem
56	What does coefficient of variance tell us
57	What are the uses of coefficient of variation
58	What does COV mean in statistics
59	What is complex random sampling
60	What is the difference between random and systematic sampling provide an example of when you would use each type of sampling
61	Why is systematic sampling used
62	How do you run a TensorBoard
63	How do you stop a TensorBoard
64	How do you show a TensorFlow graph
65	How do you solve for probability
66	How do you know if it is a one tailed or two tailed test
67	What is a two tailed test example
68	How do you do a two tailed hypothesis test
69	Does regularization increase bias
70	What is Bayesian network or belief network
71	What are the differences between naive Bayesian classifier and Bayesian belief network
72	What does L2 regularization do
73	What is L2 regularization in deep learning
74	What is L2 and L1 Regularisation
75	What effect does L2 Regularisation have on the weights of the neural network
76	What does a high AIC mean
77	What does a low AIC mean
78	What is the difference between one tailed and two tailed P values
79	Is standard deviation based on mean or median
80	How do you find the median with standard deviation
81	When should standard deviation not be used
82	How is statistics used in data analysis
83	How is statistics used in machine learning
84	How do you prepare statistics for data science
85	How is AB testing done
86	What is control and treatment for AB test
87	Why DCT is used in image processing
88	How FFT algorithm is faster compared to DFT
89	What is Poisson arrival rate
90	What is Poisson distribution and exponential distribution
91	What is lambda in regression
92	How do you select lambda in ridge regression
93	How do you make a log normal distribution
94	How do you plot a lognormal distribution in R
95	What is the structure of the lognormal distribution
96	How do you plot a lognormal distribution in Matlab
97	How is Kappa inter rater reliability calculated
98	Why are Boltzmann Machines restricted
99	What are the 2 layers of restricted Boltzmann machine called
100	How do you find the covariance between X and Y
101	What is covariance of X and X
102	How do you calculate the covariance
103	What is the variance of XY
104	What does density function mean
105	How do you know if a joint distribution is independent
106	How do you calculate degree of freedom in regression
107	What is degrees of freedom in regression
108	Why do we use n 2 degrees of freedom in regression
109	What is meant by statistical significance
110	What does it mean when we say that an algorithm X is asymptotically more efficient than Y Mcq
111	What does asymptotically efficient mean
112	What do you mean by efficiency of algorithm
113	What is cross entropy error
114	Is cross entropy a distance
115	When did facial recognition become popular
116	Can you do correlation with categorical variables
117	How do you test for multicollinearity among categorical variables
118	How do you write an unbiased estimator
119	What does it mean for a point estimator to be unbiased
120	Why sample mean is unbiased estimator
121	How do you calculate a regression line
122	What is the equation for an S curve
123	What is an S curve
124	What is the function of bias in neural network
125	What is bias in CNN
126	How can you tell the difference between a parametric and nonparametric test
127	How do you know if a test is non parametric
128	What are the types of non parametric test
129	How do I retrieve data from twitter
130	What is twitter data download
131	What is meant by Gaussian filter
132	How does Gaussian filter work
133	How do you read a TensorBoard histogram
134	Is Gaussian filter nonlinear
135	Does data have to be normally distributed for regression
136	What are the assumptions for using a logistic regression
137	Do predictor variables have to be normally distributed
138	In which of the following cases will k means clustering fail to give good results
139	What are the major drawbacks of K means clustering
140	What are the problems associated with the K means clustering algorithm
141	What does active learning mean
142	What active learning is and how it works
143	Why do active learning approaches to teaching and learning help to engage and motivate students to learn
144	What are the types of agent in artificial intelligence
145	What are the types of agent
146	What does a hazard ratio of 0.6 mean
147	How is likelihood calculated
148	How do you find the maximum likelihood function
149	Is the likelihood function a PDF
150	What is Fractile in statistics
151	What is topic modeling used for
152	What is topic Modelling in text mining
153	Is Topic Modelling machine learning
154	What is the disadvantages of linear
155	What are some common drawbacks of the linear regression model What are some ways to overcome them
156	What is the strength and weakness of linear model
157	What is independent probability
158	How do you find independent probability
159	What is independent and dependent probability
160	What is a hierarchical regression
161	What is the difference between hierarchical regression and stepwise regression
162	How do you run a hierarchical regression
163	How do you change detection in Arcmap
164	What is change detection in image processing
165	What is randomness and why is it so important
166	Why do we need to sample
167	What is the most important reason for using random sampling in experiments
168	How do you calculate frequency
169	Can random forest be used for forecasting
170	Why is it called Student t test
171	What is the mean of Student's t distribution
172	Why is it called at distribution
173	What is the difference between normal distribution and Student t distribution
174	Why is it called bootstrapping
175	What is bootstrapping in regression
176	What does mean square error tell you
177	Is the likelihood a probability
178	Is likelihood and probability the same
179	What is the conditional probability
180	What is Intel movidius neural compute stick
181	What is Intel neural compute stick 2
182	Why do we use probability generating function
183	Is prediction supervised or unsupervised
184	Why do we use histograms in image processing
185	How do you use a picture histogram
186	How histogram is useful in image enhancement
187	Why do we need recurrent neural networks
188	How do recurrent neural networks help you understand the impact of sequence on meaning
189	How the Bayesian network can be used to answer
190	How Bayesian network is beneficial in AI
191	How is aspect ratio calculated
192	What is the mean of a lognormal distribution
193	What is the standard deviation of a lognormal distribution
194	What is the mean and variance for standard normal distribution
195	How do you find the joint CDF from a joint PDF
196	How do you calculate marginal PDF from joint PDF
197	What standard unit means
198	What is meant by unit
199	What is the difference between SI unit and standard unit
200	How do you find the state value and action value function
201	How many layers has a RBM restricted Boltzmann machine
202	What is backward stepwise selection
203	What is stepwise regression used for
204	What can I use instead of stepwise regression
205	Which techniques are used in the decision tree
206	How do Decision Trees learn
207	What is regression in machine learning with example
208	What is meant by regression in machine learning
209	What do you mean by regression
210	What is feature extraction and classification
211	What is meant by features in machine learning
212	What does shared weights mean CNN
213	What is shared MLP
214	What is parameter sharing
215	How many variables are required for a regression
216	How do you calculate multiple linear regression
217	What is quota random sampling
218	Why is quota sampling non random
219	Whats the difference between a random sample and a simple random sample
220	What does a consistent estimator mean
221	What does consistency mean in statistics
222	What does the variance of an estimator measure
223	How do you estimate variance
224	What is the variance of a sample
225	Is variance biased estimator
226	What is the formula for probability mean
227	How do you find the mean of the sample mean
228	How do you find the probability that the sample mean is between two numbers
229	How does ERP improve decision making
230	Does 0 correlation imply independence
231	Why zero correlation does not mean independence
232	What do you mean by clustering
233	Can discrete variables be fractions
234	How do you do simple linear regression
235	What is linear regression explain with example
236	How do you do multiple logistic regression in SPSS
237	How do you do multinomial logistic regression
238	How do you interpret multinomial logistic regression in SPSS
239	What are the parameters in SVM
240	What is C parameter
241	What is multiple testing in statistics
242	Which analysis is related with discriminant analysis
243	Which is computed using Bayes Theorem
244	What is calibrated classifier
245	Can SVM return probability
246	What is a dropout layer and why is it used
247	Is probability a continuous variable
248	Is probability discrete or continuous
249	What is the difference between online and batch gradient descent
250	What is stochastic learning
251	What is meant by structured and unstructured data
252	What is unstructured data
253	Which one is an example of unstructured data
254	What is the mean and variance of gamma distribution
255	What is the mean of gamma
256	What is the mean of a Beta distribution
257	Is SVM a classification technique
258	What is Arima model in machine learning
259	Is Arima a regression model
260	How is a scatter plot different from a line graph
261	How can you tell if a scatter plot is positive
262	How do you identify a scatter plot
263	What is parameter and its types
264	What are the two types of parameters
265	What are different types of function arguments parameters
266	What are the applications of anomaly detection
267	How do you identify anomalies in time series data
268	What does the Fourier transform tell us
269	What does Fourier Transform do to a signal
270	What is the significance of Fourier series
271	How do you test randomness in statistics
272	What does randomness mean in statistics
273	What is run test for randomness
274	How do you analyze a factorial in SPSS
275	What is a factorial Anova example
276	How do you report a factorial Anova
277	What defines an independent event
278	What is transferable learning
279	How can we reduce Overfitting in transfer learning
280	Is a test statistic the same as at score
281	What does a negative test statistic mean
282	What does Collinearity mean
283	What is collinearity in data science
284	What is Multicollinearity in machine learning
285	What does it mean if a test is statistically significant
286	What is the difference between statistical significance and practical significance quizlet
287	Can a study be clinically significant but not statistically significant
288	How can machine learning accuracy be improved
289	How can you improve the accuracy of a ML model
290	How can accuracy be improved
291	What is IRT used for
292	What is an IRT score
293	What is classical test theory and item response
294	What is test information function
295	How do you perform k fold cross validation in R
296	How do you do k fold cross validation
297	How do I validate a model in R
298	What is the parametric equivalent of the Kruskal Wallis test
299	What is the non parametric equivalent of the independent t test
300	Is Kruskal Wallis a non parametric test
301	What types of questions can regression analysis answer
302	What is an example of regression analysis
303	What is one real life example of when regression analysis is used
